Categoria: Todas as categorias

Semana,dívida: (Brasil),assédio: (Brasil),ligações: (Brasil),bancos: (Brasil),depressão: (Brasil)
2024-09-15,19,14,13,29,35
2024-09-22,21,8,13,28,33
2024-09-29,20,7,13,29,30
2024-10-06,19,7,11,26,26
2024-10-13,24,6,11,35,30
2024-10-20,21,7,11,33,28
2024-10-27,22,7,12,35,29
2024-11-03,23,7,13,30,28
2024-11-10,22,6,11,32,27
2024-11-17,21,6,12,35,28
2024-11-24,25,6,12,31,26
2024-12-01,25,5,12,29,25
2024-12-08,25,5,11,31,25
2024-12-15,24,5,9,32,23
2024-12-22,17,4,7,64,22
2024-12-29,18,3,6,51,23
2025-01-05,24,4,8,40,23
2025-01-12,28,4,8,40,23
2025-01-19,23,5,8,32,25
2025-01-26,23,5,8,31,26
2025-02-02,22,5,8,32,24
2025-02-09,22,6,9,30,24
2025-02-16,23,6,10,33,26
2025-02-23,23,6,11,52,26
2025-03-02,20,5,8,79,25
2025-03-09,24,6,10,32,27
2025-03-16,23,6,11,40,29
2025-03-23,25,7,12,49,31
2025-03-30,24,7,12,36,25
2025-04-06,23,6,11,35,28
2025-04-13,20,5,10,38,29
2025-04-20,22,5,10,44,27
2025-04-27,23,5,11,53,26
2025-05-04,23,7,11,35,27
2025-05-11,22,6,12,31,31
2025-05-18,22,6,12,31,24
2025-05-25,23,6,11,32,28
2025-06-01,24,6,13,29,29
2025-06-08,23,6,14,30,26
2025-06-15,19,5,11,45,24
2025-06-22,22,5,11,33,25
2025-06-29,24,5,10,33,23
2025-07-06,27,5,10,35,26
2025-07-13,25,5,10,32,24
2025-07-20,26,5,9,40,26
2025-07-27,25,5,10,38,24
2025-08-03,23,5,11,40,27
2025-08-10,28,6,12,34,29
2025-08-17,27,6,12,69,31
2025-08-24,27,6,13,47,27
2025-08-31,25,6,12,42,30
2025-09-07,29,5,12,33,30
2025-09-14,24,7,13,32,28
2025-09-21,27,7,14,31,31
2025-09-28,26,6,12,32,28
2025-10-05,28,6,12,35,26
2025-10-12,27,6,11,34,27
